name,class,method,description
Base64,android.util.Base64,decode,Base64解码
Base64,android.util.Base64,encode,Base64编码
Base64,android.util.Base64,encodeToString,Base64编码为字符串
Binder,android.app.Activity,startActivity,启动Activity
Binder,android.app.ActivityThread,handleReceiver,处理Receiver
Binder,android.app.ContextImpl,registerReceiver,注册Receiver
Command,java.lang.ProcessBuilder,start,启动进程
Command,java.lang.Runtime,exec,执行命令
Crypto,javax.crypto.Cipher,doFinal,加密操作的最终步骤
Crypto,javax.crypto.spec.SecretKeySpec,$init,初始化密钥规范
Crypto - Hash,java.security.MessageDigest,digest,哈希摘要
Crypto - Hash,java.security.MessageDigest,update,更新哈希摘要
Database,android.content.ContextWrapper,databaseList,列出数据库
Database,android.content.ContextWrapper,deleteDatabase,删除数据库
Database,android.content.ContextWrapper,openOrCreateDatabase,打开或创建数据库
Database,android.database.sqlite.SQLiteDatabase,compileStatement,编译SQL语句
Database,android.database.sqlite.SQLiteDatabase,create,创建数据库
Database,android.database.sqlite.SQLiteDatabase,deleteDatabase,删除数据库
Database,android.database.sqlite.SQLiteDatabase,execSQL,执行SQL
Database,android.database.sqlite.SQLiteDatabase,getPath,获取数据库路径
Database,android.database.sqlite.SQLiteDatabase,insert,插入数据
Database,android.database.sqlite.SQLiteDatabase,insertOrThrow,插入数据或抛出异常
Database,android.database.sqlite.SQLiteDatabase,insertWithOnConflict,处理冲突的插入
Database,android.database.sqlite.SQLiteDatabase,openDatabase,打开数据库
Database,android.database.sqlite.SQLiteDatabase,openOrCreateDatabase,打开或创建数据库
Database,android.database.sqlite.SQLiteDatabase,query,查询数据
Database,android.database.sqlite.SQLiteDatabase,queryWithFactory,使用工厂查询数据
Database,android.database.sqlite.SQLiteDatabase,rawQuery,原生查询
Database,android.database.sqlite.SQLiteDatabase,rawQueryWithFactory,使用工厂的原生查询
Database,android.database.sqlite.SQLiteDatabase,update,更新数据
Database,android.database.sqlite.SQLiteDatabase,updateWithOnConflict,处理冲突的更新
Device Data,android.accounts.AccountManager,getAccounts,获取账户信息
Device Data,android.accounts.AccountManager,getAccountsByType,按类型获取账户信息
Device Data,android.app.ApplicationPackageManager,getInstalledPackages,获取已安装的包
Device Data,android.content.ContentResolver,delete,删除数据
Device Data,android.content.ContentResolver,insert,插入数据
Device Data,android.content.ContentResolver,query,查询数据
Device Data,android.content.ContentResolver,registerContentObserver,注册内容观察者
Device Data,android.location.Location,getLatitude,获取纬度
Device Data,android.location.Location,getLongitude,获取经度
Device Data,android.media.AudioRecord,startRecording,开始录音
Device Data,android.media.MediaRecorder,start,开始录制
Device Data,android.os.SystemProperties,get,获取系统属性
Device Info,android.content.pm.PackageManager,getInstalledApplications,获取已安装的应用
Device Info,android.content.pm.PackageManager,getInstalledModules,获取已安装的模块
Device Info,android.content.pm.PackageManager,getInstalledPackages,获取已安装的包
Device Info,android.content.pm.PackageManager,getInstallerPackageName,获取安装者包名
Device Info,android.net.wifi.WifiInfo,getBSSID,获取BSSID
Device Info,android.net.wifi.WifiInfo,getIpAddress,获取IP地址
Device Info,android.net.wifi.WifiInfo,getMacAddress,获取MAC地址
Device Info,android.net.wifi.WifiInfo,getNetworkId,获取网络ID
Device Info,android.os.Debug,isDebuggerConnected,检查调试器是否连接
Device Info,android.telephony.TelephonyManager,getDeviceId,获取设备ID
