id,class,method,name,enabled,description
3,android.accounts.AccountManager,addAccount,,True,
4,android.accounts.AccountManager,addOnAccountsUpdatedListener,,True,
5,android.accounts.AccountManager,blockingGetAuthToken,,True,
6,android.accounts.AccountManager,confirmCredentials,,True,
7,android.accounts.AccountManager,editProperties,,True,
8,android.accounts.AccountManager,getAccounts,,True,
9,android.accounts.AccountManager,getAccountsByType,,True,
10,android.accounts.AccountManager,getAccountsByTypeAndFeatures,,True,
11,android.accounts.AccountManager,getAuthToken,,True,
12,android.accounts.AccountManager,getAuthTokenByFeatures,,True,
13,android.accounts.AccountManager,getAuthTokenLabel,,True,
14,android.accounts.AccountManager,hasFeatures,,True,
15,android.accounts.AccountManager,removeAccount,,True,
16,android.accounts.AccountManager,updateCredentials,,True,
17,android.app.ActivityManager,getRunningAppProcesses,,True,
18,android.app.ActivityManager,getRunningServices,,True,
19,android.app.ActivityManager,getRunningTasks,,True,
20,android.app.ActivityManager,killBackgroundProcesses,,True,
21,android.app.AlertDialog,AlertDialog,,False,Not Found in API 25
22,android.app.AlertDialog,onCreate,,True,
23,android.app.Application,Application,,False,Not Found in API 25
24,android.app.Application,attachBaseContext,,True,
25,android.app.Application,getDir,,True,
26,android.app.Application,onCreate,,True,
27,android.app.Dialog,dispatchKeyEvent,,True,
28,android.app.Dialog,setOnKeyListener,,True,
29,android.app.DownloadManager,addCompletedDownload,,True,
30,android.app.DownloadManager,enqueue,,True,
31,android.app.DownloadManager,getUriForDownloadedFile,,True,
32,android.app.Instrumentation,callActivityOnNewIntent,,True,
33,android.app.Instrumentation,callActivityOnPostCreate,,True,
34,android.app.Instrumentation,callActivityOnRestoreInstanceState,,True,
35,android.app.Instrumentation,callActivityOnSaveInstanceState,,True,
36,android.app.Instrumentation,callActivityOnStart,,True,
37,android.app.Instrumentation,callActivityOnUserLeaving,,True,
38,android.app.Instrumentation,onException,,True,
39,android.app.KeyguardManager,exitKeyguardSecurely,,True,
40,android.app.Service,onConfigurationChanged,,True,
41,android.app.Service,onLowMemory,,True,
42,android.app.Service,onStart,,True,
43,android.app.Service,onStartCommand,,True,
44,android.bluetooth.BluetoothAdapter,getAddress,,True,
45,android.content.BroadcastReceiver,abortBroadcast,,True,
46,android.content.ContentResolver,delete,,True,
47,android.content.Context,bindService,,True,
48,android.content.Context,fileList,,True,
49,android.content.Context,registerReceiver,,True,
50,android.content.Context,sendBroadcast,,True,
51,android.content.Context,startActivity,,True,
52,android.content.Context,startService,,True,
53,android.content.Context,stopService,,True,
54,android.content.ContextWrapper,createPackageContext,,True,
55,android.content.ContextWrapper,removeStickyBroadcast,,True,
56,android.content.ContextWrapper,sendBroadcast,,True,
57,android.content.ContextWrapper,sendBroadcastAsUser,,True,
58,android.content.ContextWrapper,sendOrderedBroadcast,,True,
59,android.content.ContextWrapper,sendOrderedBroadcastAsUser,,True,
60,android.content.ContextWrapper,sendStickyBroadcast,,True,
61,android.content.ContextWrapper,sendStickyBroadcastAsUser,,True,
62,android.content.ContextWrapper,sendStickyOrderedBroadcast,,True,
63,android.content.ContextWrapper,sendStickyOrderedBroadcastAsUser,,True,
64,android.content.ContextWrapper,stopService,,True,
65,android.content.IntentFilter,setPriority,,True,
66,android.content.pm.PackageManager,getPackageArchiveInfo,,True,
67,android.content.pm.ProviderInfo,ProviderInfo,,False,Not Found in API 25
68,android.content.pm.ServiceInfo,ServiceInfo,,False,Not Found in API 25
69,android.content.res.Configuration,setToDefaults,,True,
70,android.database.sqlite.SQLiteDatabase,create,,True,
71,android.database.sqlite.SQLiteDatabase,delete,,True,
72,android.database.sqlite.SQLiteDatabase,deleteDatabase,,True,
73,android.database.sqlite.SQLiteDatabase,execSQL,,True,
74,android.database.sqlite.SQLiteDatabase,insert,,True,
75,android.database.sqlite.SQLiteDatabase,insertWithOnConflict,,True,
76,android.database.sqlite.SQLiteDatabase,isOpen,,True,
77,android.database.sqlite.SQLiteDatabase,query,,True,
78,android.database.sqlite.SQLiteDatabase,rawQuery,,True,
79,android.database.sqlite.SQLiteDatabase,update,,True,
80,android.database.sqlite.SQLiteDatabase,updateWithOnConflict,,True,
